acronym,value,is_seed,tract_experiment_id
DR,0.997818350791931,True,480074702
ACA,0.0040218465931401,False,480074702
MOp,0.0198489315559763,False,480074702
MOs,0.0183452753002489,False,480074702
PL,0.0120962930986292,False,480074702
RSPd,0.0006118820849802,False,480074702
SSp-bfd,0.0031242443766559,False,480074702
SSs,0.0126893642272229,False,480074702
VISp,0.0009132403608854,False,480074702
